ts,distance_cm,pir,event,dur_s
0,52.9,0,none,
200,56.7,0,none,
400,56.3,0,none,
600,57.5,0,none,
800,53.6,0,none,
1000,55.1,0,none,
1200,57.3,0,none,
1400,56.2,0,none,
1600,56.7,0,none,
1800,55.0,0,none,
2000,51.5,0,none,
2200,48.6,0,none,
2400,47.2,1,none,
2600,42.1,1,none,
2800,43.5,1,none,
3000,39.9,1,none,
3200,39.6,1,none,
3400,34.7,1,none,
3600,28.5,1,none,
3800,29.2,1,none,
4000,25.3,1,none,
4200,20.8,1,none,
4400,18.8,1,none,
4600,16.1,1,start,
4800,17.6,1,running,
5000,16.4,1,running,
5200,6.4,1,running,
5400,12.9,1,running,
5600,23.6,1,running,
5800,18.6,1,running,
6000,7.2,1,running,
6200,12.5,1,running,
6400,25.1,1,running,
6600,16.6,1,running,
6800,5.0,1,running,
7000,30.0,1,running,
7200,19.7,1,running,
7400,10.8,1,running,
7600,5.5,1,running,
7800,22.1,1,running,
8000,21.5,1,running,
8200,5.9,1,running,
8400,12.2,1,running,
8600,26.4,1,running,
8800,14.1,1,running,
9000,5.4,1,running,
9200,18.7,1,running,
9400,23.7,1,running,
9600,7.7,1,running,
9800,11.6,1,running,
10000,17.8,1,running,
10200,16.6,1,running,
10400,5.9,0,running,
10600,15.3,1,running,
10800,17.8,1,running,
11000,12.7,0,running,
11200,8.1,1,running,
11400,19.9,1,running,
11600,22.7,1,running,
11800,10.5,1,running,
12000,7.3,1,running,
12200,20.1,1,running,
12400,24.5,1,running,
12600,13.5,1,running,
12800,13.0,1,running,
13000,14.8,1,running,
13200,22.3,1,running,
13400,19.3,1,running,
13600,10.9,1,running,
13800,8.3,1,running,
14000,15.7,1,running,
14200,21.0,1,running,
14400,19.5,1,running,
14600,13.8,0,running,
14800,9.4,1,running,
15000,10.2,1,running,
15200,14.9,1,running,
15400,21.1,1,running,
15600,20.5,1,running,
15800,18.2,1,running,
16000,13.2,1,running,
16200,10.4,1,running,
16400,8.6,1,running,
16600,11.9,1,running,
16800,15.6,1,running,
17000,21.3,1,running,
17200,22.0,1,running,
17400,20.9,1,running,
17600,16.6,1,running,
17800,13.5,1,running,
18000,10.6,1,running,
18200,8.9,1,running,
18400,8.6,0,running,
18600,10.0,1,running,
18800,13.6,1,running,
19000,15.5,1,running,
19200,20.5,1,running,
19400,20.6,1,running,
19600,21.6,1,running,
19800,21.3,1,running,
20000,16.7,1,running,
20200,15.1,1,running,
20400,11.7,1,running,
20600,8.7,1,running,
20800,8.0,1,running,
21000,11.0,1,running,
21200,15.8,1,running,
21400,20.6,0,running,
21600,23.7,1,running,
21800,21.3,1,running,
22000,17.5,0,running,
22200,10.3,1,running,
22400,7.2,1,running,
22600,8.9,1,running,
22800,19.1,0,running,
23000,25.5,1,running,
23200,23.6,1,running,
23400,27.5,1,running,
23600,31.9,1,running,
23800,37.3,1,running,
24000,45.6,1,running,
24200,51.0,0,running,
24400,54.0,0,end,18.7
