ts,distance_cm,pir,event,dur_s
0,54.3,0,none,
200,52.5,0,none,
400,56.0,0,none,
600,55.9,0,none,
800,54.6,0,none,
1000,53.5,0,none,
1200,53.0,0,none,
1400,54.1,0,none,
1600,52.8,0,none,
1800,56.9,0,none,
2000,57.0,0,none,
2200,53.9,0,none,
2400,54.7,0,none,
2600,52.9,0,none,
2800,53.9,0,none,
3000,57.3,0,none,
3200,51.3,0,none,
3400,49.8,0,none,
3600,46.5,1,none,
3800,45.3,1,none,
4000,40.9,1,none,
4200,41.5,1,none,
4400,36.4,1,none,
4600,34.7,1,none,
4800,31.4,1,none,
5000,27.1,1,none,
5200,28.1,1,none,
5400,22.8,1,none,
5600,23.2,1,none,
5800,24.5,1,start,
6000,16.7,1,running,
6200,13.6,1,running,
6400,22.4,1,running,
6600,21.2,0,running,
6800,11.3,1,running,
7000,16.3,1,running,
7200,26.9,1,running,
7400,14.2,0,running,
7600,11.8,1,running,
7800,25.1,1,running,
8000,15.3,1,running,
8200,10.8,1,running,
8400,25.2,1,running,
8600,18.8,0,running,
8800,9.5,1,running,
9000,25.1,1,running,
9200,18.6,0,running,
9400,9.8,1,running,
9600,25.7,1,running,
9800,18.8,1,running,
10000,10.2,0,running,
10200,23.5,1,running,
10400,18.6,1,running,
10600,9.6,1,running,
10800,25.6,1,running,
11000,20.2,1,running,
11200,8.5,1,running,
11400,23.0,1,running,
11600,20.7,1,running,
11800,9.0,1,running,
12000,22.1,1,running,
12200,22.0,1,running,
12400,10.2,1,running,
12600,19.5,1,running,
12800,24.9,1,running,
13000,11.1,1,running,
13200,31.3,1,running,
13400,24.7,0,running,
13600,15.8,1,running,
13800,9.5,1,running,
14000,20.0,1,running,
14200,23.0,1,running,
14400,13.4,1,running,
14600,13.3,1,running,
14800,22.7,1,running,
15000,21.3,1,running,
15200,13.2,1,running,
15400,13.4,1,running,
15600,19.0,1,running,
15800,24.9,1,running,
16000,17.7,1,running,
16200,10.5,1,running,
16400,15.5,1,running,
16600,21.8,1,running,
16800,22.6,1,running,
17000,16.0,1,running,
17200,11.7,1,running,
17400,14.4,1,running,
17600,18.5,1,running,
17800,22.9,1,running,
18000,20.9,1,running,
18200,17.3,1,running,
18400,12.4,1,running,
18600,12.6,1,running,
18800,17.1,1,running,
19000,22.5,1,running,
19200,22.4,1,running,
19400,20.4,1,running,
19600,17.7,1,running,
19800,13.5,1,running,
20000,13.0,1,running,
20200,14.8,1,running,
20400,19.3,1,running,
20600,23.4,1,running,
20800,22.0,0,running,
21000,20.4,0,running,
21200,15.2,1,running,
21400,12.2,1,running,
21600,12.5,1,running,
21800,16.6,1,running,
22000,24.4,1,running,
22200,24.9,1,running,
22400,19.0,1,running,
22600,13.3,1,running,
22800,11.0,1,running,
23000,15.0,1,running,
23200,23.1,1,running,
23400,24.2,1,running,
23600,17.0,1,running,
23800,10.7,1,running,
24000,14.7,1,running,
24200,22.9,1,running,
24400,25.9,1,running,
24600,12.1,1,running,
24800,10.2,1,running,
25000,22.0,1,running,
25200,24.7,1,running,
25400,10.1,1,running,
25600,15.6,1,running,
25800,20.8,1,running,
26000,14.5,1,running,
26200,9.7,1,running,
26400,25.0,1,running,
26600,15.7,1,running,
26800,11.1,1,running,
27000,27.9,1,running,
27200,13.0,1,running,
27400,16.0,1,running,
27600,24.7,1,running,
27800,9.6,1,running,
28000,26.9,1,running,
28200,15.8,1,running,
28400,22.9,1,running,
28600,16.1,1,running,
28800,16.6,1,running,
29000,20.6,1,running,
29200,12.3,1,running,
29400,20.8,1,running,
29600,12.3,1,running,
29800,22.1,1,running,
30000,11.9,1,running,
30200,21.9,1,running,
30400,13.9,1,running,
30600,40.2,1,running,
30800,15.7,1,running,
31000,18.2,1,running,
31200,18.7,1,running,
31400,14.3,1,running,
31600,21.2,1,running,
31800,12.8,1,running,
32000,23.6,1,running,
32200,11.4,1,running,
32400,23.9,1,running,
32600,11.2,1,running,
32800,23.0,1,running,
33000,22.5,1,running,
33200,28.5,1,running,
33400,30.1,1,running,
33600,34.8,1,running,
33800,36.5,1,running,
34000,42.9,1,running,
34200,43.6,1,running,
34400,49.0,1,running,
34600,50.5,0,running,
34800,53.7,0,end,27.3
