ts,distance_cm,pir,event,dur_s
0,56.1,0,none,
200,53.8,0,none,
400,54.7,0,none,
600,55.6,0,none,
800,54.3,0,none,
1000,54.4,0,none,
1200,55.7,0,none,
1400,55.7,0,none,
1600,55.0,0,none,
1800,52.1,0,none,
2000,54.4,0,none,
2200,55.0,0,none,
2400,55.2,0,none,
2600,51.8,0,none,
2800,47.2,0,none,
3000,44.3,1,none,
3200,39.0,1,none,
3400,34.8,1,none,
3600,27.6,1,none,
3800,23.5,1,none,
4000,17.7,1,none,
4200,23.2,1,start,
4400,21.1,1,running,
4600,12.3,1,running,
4800,10.7,0,running,
5000,19.1,1,running,
5200,24.3,1,running,
5400,16.7,1,running,
5600,14.8,0,running,
5800,13.1,1,running,
6000,23.4,1,running,
6200,20.7,1,running,
6400,11.2,1,running,
6600,11.2,1,running,
6800,21.7,0,running,
7000,22.6,1,running,
7200,11.9,1,running,
7400,11.6,1,running,
7600,23.8,1,running,
7800,21.9,1,running,
8000,10.6,1,running,
8200,12.2,1,running,
8400,23.5,1,running,
8600,21.9,1,running,
8800,9.6,1,running,
9000,13.3,1,running,
9200,24.7,0,running,
9400,21.0,1,running,
9600,9.0,1,running,
9800,13.9,1,running,
10000,18.5,1,running,
10200,19.8,1,running,
10400,10.5,1,running,
10600,13.5,1,running,
10800,24.2,1,running,
11000,21.5,1,running,
11200,11.0,1,running,
11400,11.5,1,running,
11600,20.0,1,running,
11800,23.2,1,running,
12000,36.2,1,running,
12200,11.5,1,running,
12400,13.3,1,running,
12600,19.7,1,running,
12800,22.7,1,running,
13000,18.1,1,running,
13200,11.8,1,running,
13400,13.7,1,running,
13600,16.2,1,running,
13800,21.6,1,running,
14000,21.9,1,running,
14200,18.8,1,running,
14400,14.6,1,running,
14600,11.8,1,running,
14800,12.6,1,running,
15000,15.9,1,running,
15200,20.6,1,running,
15400,21.4,1,running,
15600,21.7,0,running,
15800,20.8,1,running,
16000,18.2,1,running,
16200,15.8,1,running,
16400,12.9,1,running,
16600,11.6,1,running,
16800,12.7,1,running,
17000,12.9,1,running,
17200,16.4,1,running,
17400,16.9,1,running,
17600,19.2,1,running,
17800,20.8,1,running,
18000,22.5,1,running,
18200,21.7,1,running,
18400,22.4,1,running,
18600,20.0,1,running,
18800,19.9,1,running,
19000,17.2,1,running,
19200,16.0,1,running,
19400,15.4,1,running,
19600,12.7,1,running,
19800,10.4,1,running,
20000,10.6,1,running,
20200,11.4,1,running,
20400,13.5,1,running,
20600,14.8,0,running,
20800,17.9,1,running,
21000,21.3,1,running,
21200,24.3,1,running,
21400,21.9,1,running,
21600,20.1,1,running,
21800,14.3,1,running,
22000,10.4,1,running,
22200,8.6,1,running,
22400,11.1,1,running,
22600,20.0,1,running,
22800,24.8,1,running,
23000,23.7,1,running,
23200,16.5,0,running,
23400,16.0,1,running,
23600,13.0,1,running,
23800,20.5,0,running,
24000,24.5,1,running,
24200,15.6,1,running,
24400,9.8,1,running,
24600,15.3,0,running,
24800,24.0,1,running,
25000,17.7,1,running,
25200,9.3,1,running,
25400,20.4,1,running,
25600,24.8,1,running,
25800,9.4,1,running,
26000,16.0,1,running,
26200,25.3,1,running,
26400,9.6,1,running,
26600,17.4,1,running,
26800,22.7,1,running,
27000,9.4,1,running,
27200,21.8,1,running,
27400,16.0,1,running,
27600,12.8,1,running,
27800,23.1,1,running,
28000,9.0,1,running,
28200,22.0,1,running,
28400,13.7,1,running,
28600,17.3,1,running,
28800,20.2,1,running,
29000,13.0,1,running,
29200,23.3,1,running,
29400,11.0,1,running,
29600,22.5,1,running,
29800,9.9,1,running,
30000,22.5,1,running,
30200,13.5,1,running,
30400,19.7,1,running,
30600,13.8,1,running,
30800,17.7,1,running,
31000,17.1,1,running,
31200,16.0,1,running,
31400,19.1,1,running,
31600,12.6,1,running,
31800,23.0,1,running,
32000,12.9,1,running,
32200,20.1,1,running,
32400,13.7,1,running,
32600,17.5,1,running,
32800,17.6,1,running,
33000,13.1,1,running,
33200,21.2,1,running,
33400,13.1,1,running,
33600,18.2,1,running,
33800,20.9,1,running,
34000,12.9,1,running,
34200,19.8,1,running,
34400,35.7,1,running,
34600,12.6,1,running,
34800,16.6,0,running,
35000,21.1,1,running,
35200,16.2,1,running,
35400,11.8,1,running,
35600,22.2,1,running,
35800,27.1,1,running,
36000,31.5,1,running,
36200,31.6,1,running,
36400,36.5,1,running,
36600,39.4,1,running,
36800,45.9,1,running,
37000,46.0,1,running,
37200,51.9,0,running,
37400,53.5,0,end,31.5
