ts,distance_cm,pir,event,dur_s
0,56.3,0,none,
200,56.9,0,none,
400,53.4,0,none,
600,57.0,0,none,
800,53.0,0,none,
1000,55.5,0,none,
1200,56.2,0,none,
1400,56.9,0,none,
1600,56.5,0,none,
1800,54.0,0,none,
2000,57.2,0,none,
2200,53.9,0,none,
2400,54.5,0,none,
2600,57.2,0,none,
2800,52.5,0,none,
3000,57.2,0,none,
3200,53.3,0,none,
3400,48.5,0,none,
3600,42.9,1,none,
3800,42.3,1,none,
4000,35.9,1,none,
4200,36.6,1,none,
4400,32.6,1,none,
4600,30.7,1,none,
4800,29.5,1,none,
5000,19.4,1,none,
5200,18.5,1,start,
5400,12.0,1,running,
5600,6.3,1,running,
5800,8.1,1,running,
6000,14.4,1,running,
6200,20.1,1,running,
6400,20.3,1,running,
6600,9.5,1,running,
6800,5.0,1,running,
7000,8.9,1,running,
7200,19.6,1,running,
7400,21.1,1,running,
7600,14.1,1,running,
7800,5.0,1,running,
8000,8.4,1,running,
8200,18.3,1,running,
8400,23.5,1,running,
8600,25.6,1,running,
8800,11.8,1,running,
9000,7.3,1,running,
9200,20.3,1,running,
9400,22.8,1,running,
9600,11.8,1,running,
9800,5.0,1,running,
10000,9.8,1,running,
10200,20.3,1,running,
10400,19.8,1,running,
10600,9.7,1,running,
10800,5.0,1,running,
11000,12.0,1,running,
11200,21.5,1,running,
11400,21.6,1,running,
11600,11.6,1,running,
11800,5.0,1,running,
12000,8.6,1,running,
12200,17.2,1,running,
12400,22.2,1,running,
12600,15.5,1,running,
12800,7.9,1,running,
13000,5.6,1,running,
13200,10.1,1,running,
13400,16.0,1,running,
13600,21.8,1,running,
13800,18.6,1,running,
14000,13.8,1,running,
14200,9.5,1,running,
14400,5.7,1,running,
14600,7.2,1,running,
14800,12.3,1,running,
15000,16.0,1,running,
15200,19.2,1,running,
15400,19.6,1,running,
15600,17.9,1,running,
15800,15.6,1,running,
16000,14.0,1,running,
16200,11.0,1,running,
16400,9.2,1,running,
16600,9.5,1,running,
16800,6.9,1,running,
17000,8.0,1,running,
17200,8.4,1,running,
17400,8.6,1,running,
17600,8.1,1,running,
17800,10.6,1,running,
18000,10.1,1,running,
18200,12.0,1,running,
18400,11.5,1,running,
18600,13.1,1,running,
18800,23.3,1,running,
19000,13.4,1,running,
19200,14.4,1,running,
19400,12.6,1,running,
19600,14.0,1,running,
19800,14.5,1,running,
20000,13.1,1,running,
20200,15.5,0,running,
20400,15.0,1,running,
20600,15.1,1,running,
20800,15.6,1,running,
21000,16.6,1,running,
21200,18.1,1,running,
21400,16.7,1,running,
21600,17.3,1,running,
21800,19.5,0,running,
22000,20.4,1,running,
22200,20.9,1,running,
22400,37.4,1,running,
22600,21.0,1,running,
22800,18.1,0,running,
23000,15.6,1,running,
23200,11.7,1,running,
23400,7.1,1,running,
23600,6.0,1,running,
23800,5.0,1,running,
24000,8.4,1,running,
24200,14.5,1,running,
24400,21.4,1,running,
24600,21.3,1,running,
24800,16.6,1,running,
25000,6.7,1,running,
25200,5.4,1,running,
25400,11.2,1,running,
25600,20.5,1,running,
25800,20.1,1,running,
26000,8.1,1,running,
26200,5.0,1,running,
26400,15.2,0,running,
26600,22.5,1,running,
26800,11.3,1,running,
27000,5.0,1,running,
27200,21.3,1,running,
27400,27.3,1,running,
27600,34.1,1,running,
27800,36.3,1,running,
28000,44.5,1,running,
28200,50.4,0,running,
28400,53.3,0,end,22.0
