ts,distance_cm,pir,event,dur_s
0,56.9,0,none,
200,55.1,0,none,
400,53.0,0,none,
600,56.2,0,none,
800,52.3,0,none,
1000,56.9,0,none,
1200,53.7,0,none,
1400,53.0,0,none,
1600,53.7,0,none,
1800,55.7,0,none,
2000,54.4,0,none,
2200,51.4,0,none,
2400,47.9,1,none,
2600,45.5,1,none,
2800,43.0,1,none,
3000,43.3,1,none,
3200,38.5,1,none,
3400,37.2,1,none,
3600,33.1,1,none,
3800,31.7,1,none,
4000,28.8,1,none,
4200,27.1,1,none,
4400,21.7,1,none,
4600,17.7,1,none,
4800,16.7,1,start,
5000,9.2,0,running,
5200,9.8,1,running,
5400,13.7,1,running,
5600,21.7,1,running,
5800,16.1,1,running,
6000,15.1,1,running,
6200,8.3,1,running,
6400,9.4,1,running,
6600,17.9,1,running,
6800,24.1,0,running,
7000,17.3,1,running,
7200,7.6,1,running,
7400,12.8,1,running,
7600,18.2,1,running,
7800,23.9,1,running,
8000,15.1,1,running,
8200,7.7,1,running,
8400,9.9,1,running,
8600,20.1,0,running,
8800,22.0,1,running,
9000,14.7,1,running,
9200,7.0,1,running,
9400,14.5,1,running,
9600,22.7,1,running,
9800,20.4,0,running,
10000,8.9,1,running,
10200,7.8,1,running,
10400,20.2,1,running,
10600,23.9,1,running,
10800,26.9,1,running,
11000,33.3,1,running,
11200,35.8,1,running,
11400,41.2,1,running,
11600,44.0,1,running,
11800,48.8,1,running,
12000,51.5,0,running,
12200,55.3,0,end,5.7
