ts,distance_cm,pir,event,dur_s
0,55.4,0,none,
200,55.3,0,none,
400,53.9,0,none,
600,53.9,0,none,
800,54.9,0,none,
1000,56.5,0,none,
1200,55.3,0,none,
1400,57.4,0,none,
1600,56.4,0,none,
1800,55.6,0,none,
2000,52.6,0,none,
2200,47.8,0,none,
2400,47.1,1,none,
2600,43.4,1,none,
2800,37.8,1,none,
3000,35.9,1,none,
3200,31.6,1,none,
3400,30.2,1,none,
3600,25.1,1,none,
3800,24.3,1,none,
4000,21.5,1,none,
4200,23.0,1,start,
4400,24.5,1,running,
4600,20.3,1,running,
4800,15.4,1,running,
5000,11.2,1,running,
5200,16.1,0,running,
5400,22.7,1,running,
5600,25.8,1,running,
5800,20.4,1,running,
6000,13.6,1,running,
6200,11.5,1,running,
6400,18.4,1,running,
6600,25.1,1,running,
6800,23.3,1,running,
7000,15.2,0,running,
7200,10.2,1,running,
7400,17.1,1,running,
7600,25.7,1,running,
7800,24.1,1,running,
8000,14.9,1,running,
8200,12.0,1,running,
8400,19.8,1,running,
8600,26.6,1,running,
8800,22.6,1,running,
9000,12.1,1,running,
9200,10.8,1,running,
9400,19.0,1,running,
9600,25.6,1,running,
9800,37.7,0,running,
10000,13.9,1,running,
10200,12.1,1,running,
10400,20.0,1,running,
10600,25.9,1,running,
10800,22.1,1,running,
11000,15.6,1,running,
11200,12.7,1,running,
11400,16.8,1,running,
11600,21.6,1,running,
11800,26.4,1,running,
12000,24.7,1,running,
12200,28.7,1,running,
12400,34.4,1,running,
12600,36.2,1,running,
12800,43.1,1,running,
13000,46.4,1,running,
13200,50.8,0,running,
13400,55.8,0,end,7.9
