sample,gyro_x,gyro_y,gyro_z
1063000,-258.06559785771833,-319.7241764531755,283.66152179805846
1063001,-257.27716240354874,-320.6111017479097,282.74619171517793
1063002,-256.8987843576317,-320.4599460636205,282.90780648350335
1063003,-256.379677475733,-319.192695285278,283.54410674687284
1063004,-255.8104177885271,-319.22038652108375,283.5509552583701
1063005,-255.48457512115914,-319.7635675418497,283.52645664917816
1063006,-255.76119259580645,-320.03096886416733,283.450330008043
1063007,-256.0447491663454,-319.8096614741838,283.2881246242299
1063008,-256.62190087435704,-319.9439031539173,282.4807221074078
1063009,-257.0987395905443,-320.6364716460868,282.9758905862413
1063010,-257.42669475042356,-320.116453473822,282.6348203231957
1063011,-258.09647460754303,-320.4077710835634,282.63920576507314
1063012,-257.9603673251042,-320.31682414634906,282.53279056501424
1063013,-257.8199661476671,-320.1017121243082,282.8102281459594
1063014,-257.91985310739136,-321.10265276738573,282.59777607355875
1063015,-257.9207558373689,-321.16015728920746,282.164627899972
1063016,-256.5944746044775,-321.5631785989866,283.3612062198663
1063017,-256.80477527040875,-321.8709609624685,283.25138146928424
1063018,-256.7125389103757,-321.3833700151547,283.3472583359418
1063019,-256.471405266077,-321.2025602816849,283.0119801437835
1063020,-256.90013636258834,-321.25297793777486,283.40145656955394
1063021,-256.9474855388651,-321.7045783553503,283.4692297020486
1063022,-257.34918062714803,-322.6665100016371,283.6874644146261
1063023,-256.9308312469923,-322.78074224095707,283.1169911365044
1063024,-256.7978784068421,-322.95491564254723,283.2836189334937
1063025,-256.8763341640115,-323.28310536447253,282.5514380566068
1063026,-256.54654490815267,-322.6053669495517,281.9564630304003
1063027,-257.0038367336366,-322.93105825443723,281.14831760668693
1063028,-256.559600518765,-322.4580545273418,281.1737054053214
1063029,-256.5682523774982,-322.182407464906,282.7574232783764
1063030,-257.0805559392164,-323.10054456253056,282.65051961540195
1063031,-257.3925062769394,-322.37276227322155,282.53608557733116
1063032,-257.7549362005663,-322.5792987630809,282.9408306198858
1063033,-256.8608320234575,-322.4476860820374,283.2526383934535
1063034,-256.63057334154115,-322.3778038960009,283.6501653942443
1063035,-257.60982570140396,-322.27062357142967,283.3077821299768
1063036,-257.1144107812829,-321.9823726796655,283.18578378815977
1063037,-258.0372194362653,-322.211819918829,282.5995170165226
1063038,-258.262016104812,-321.9865133934196,282.1777244263318
1063039,-258.37020779409266,-322.157900642238,282.5649707460728
1063040,-258.20681108585416,-322.4173746981748,282.63136913375706
1063041,-257.8812562516266,-323.70042182225825,282.3230025692583
1063042,-257.4635480750701,-323.76524482374333,281.96478415130036
1063043,-256.77497004502334,-323.6126087796227,282.42255646116405
1063044,-256.78429461380955,-324.21908193682043,282.4871902701795
1063045,-256.91151420779255,-324.6043046828356,282.20582915842215
1063046,-256.70280418177674,-324.8931654240004,281.3649676335456
1063047,-256.5094437846708,-324.41249165745546,281.2372840044411
1063048,-255.8576975690081,-324.4004058672007,281.533391302956
1063049,-255.32765020680327,-324.4548008527438,282.0082184311685
1063050,-254.98165260595454,-324.540177596701,281.1927684055528
1063051,-255.32404802181645,-324.6488243254682,281.2820443210031
1063052,-255.29846867644181,-324.9423006740596,281.23740891758314
1063053,-254.37473509807234,-324.7727365890923,281.4495188617256
1063054,-253.95414056162252,-325.32595561807165,281.4645095760783
1063055,-254.22866625661294,-325.1710310814139,281.760065533477
1063056,-253.27477800872538,-324.4179948147262,281.9408959688131
1063057,-253.84988528607877,-324.90616839346063,282.0469216406933
1063058,-253.3992752308509,-325.3590976245499,282.01881305369784
1063059,-252.5697605909064,-325.3045692886026,281.4465047489411
1063060,-252.21578813353514,-325.24221827180435,280.98372006691187
1063061,-252.1058905452886,-324.14019056441856,281.36406316911285
1063062,-252.0451167696795,-324.25225501528166,281.6493691111328
1063063,-251.8867198340666,-323.9776748052116,282.6539714201529
1063064,-252.5422389023825,-323.9466822036562,281.9161578876601
1063065,-253.1527450813699,-324.5582006495321,280.8025698164504
1063066,-253.35208945121434,-324.352285862968,280.4450989717249
1063067,-253.45215873177392,-324.1464553813319,281.1697211134515
1063068,-252.70979241659,-324.61599442821796,281.07773786468067
1063069,-252.68464364912182,-325.409337928887,281.31910537329003
1063070,-252.40851508388337,-325.5411095444609,281.177124112769
1063071,-252.94657197764104,-325.21749221447175,280.81169430385887
1063072,-252.7700409232703,-325.82449016137707,280.4506463274267
1063073,-252.40992537184897,-324.0560428808219,280.89496709455614
1063074,-252.1271360581413,-323.6598673534972,281.15781682013863
1063075,-253.04018639335538,-324.1655415748642,281.72939135644543
1063076,-252.56417584314835,-323.9850551678335,281.61888441900396
1063077,-252.25510457853431,-323.67709207997757,282.447362821351
1063078,-251.44023789241288,-323.9430937158736,281.85923225639
1063079,-250.66750519150426,-324.3337861602651,280.3475326173937
1063080,-250.23267677182378,-325.31069633531547,279.7771976524793
1063081,-250.69426368157045,-326.267854693446,279.53808117519515
1063082,-251.6375447196014,-326.2963417049142,279.08452523991934
1063083,-251.82526416164598,-326.23052613793925,279.260465335845
1063084,-251.0211296703429,-325.9058372157681,278.76978267249564
1063085,-250.6051915864194,-326.3090629005764,278.68690095730585
1063086,-251.0825823233686,-325.4694009371907,278.4406145113907
1063087,-250.97640867062637,-325.19681821858325,278.471220819387
1063088,-251.649461896205,-325.3625277752512,278.7233067148694
1063089,-252.00331970545452,-325.13509098874096,278.8819428644505
1063090,-252.211849918978,-325.4812605114106,279.0335611292165
1063091,-251.67347517979834,-325.4122856649588,279.14106263125115
1063092,-251.69583179897384,-325.26896435937107,278.21053818176335
1063093,-251.39260963511705,-326.1512845719396,278.17857639515614
1063094,-251.77129973543674,-325.487752048728,278.23853584071844
1063095,-252.11450300767865,-325.31742281112054,278.3201730868155
1063096,-252.7186652714179,-324.56524652910167,277.84563474235114
1063097,-252.92181606652423,-324.636066161241,277.8594814483828
1063098,-253.16950599549773,-324.0263993860225,277.3382895761749
1063099,-253.69017941121973,-323.62441095293184,277.13053185242524
1063100,-254.1137716973202,-323.80001117208974,277.35996263054034
1063101,-254.5375795572644,-323.81249493567304,276.74198273717525
1063102,-254.90475464471032,-323.3918915148113,276.32319492241254
1063103,-254.74822805353946,-324.0987548484225,276.8335914287514
1063104,-254.67641968905644,-325.6175270556693,276.80788185694706
1063105,-255.45429449029947,-326.5778136991412,276.6548606751544
1063106,-255.87232429591586,-326.5261968709031,277.35900186671256
1063107,-256.37667540123664,-326.2070116863029,277.54082474571965
1063108,-256.5654933654768,-325.86555297741967,277.11317989218145
1063109,-257.17934940146324,-327.1652083218989,276.61065337386316
1063110,-257.25925530345125,-326.18952838958234,276.0716370463906
1063111,-257.3481347107364,-326.59435370750634,276.3119134369507
1063112,-256.7963587933372,-326.4471034486196,276.337329193685
1063113,-257.8033077397122,-326.7882848840915,275.67007098213656
1063114,-258.38867431818664,-327.8589055705353,275.48208507787416
1063115,-259.75249243871036,-327.66507296023264,275.6285604476018
1063116,-259.3877644464325,-328.0351245885751,274.8526097919897
1063117,-260.0985598683508,-327.4444025114951,274.4719145686956
1063118,-259.753950706995,-327.5943631035969,274.7588817546095
1063119,-259.68864137961737,-328.08974758440553,275.5746714025044
1063120,-259.4756834791653,-327.8707986743184,275.51410354005765
1063121,-260.93412013389724,-327.1867748247876,274.98063582956866
1063122,-260.85886676975616,-328.3451657466438,275.24013589777195
1063123,-259.98721801040597,-328.3855696129326,274.7747347830867
1063124,-259.82715167913653,-327.9251297952262,275.22839306519796
1063125,-259.4611806122573,-327.3841395894205,274.45276173760396
1063126,-260.03122654833135,-327.5386346892766,274.6777946615165
1063127,-259.69635075705503,-327.1511909805553,275.01441375552616
1063128,-259.6396604580128,-326.7992070363769,275.1206932149795
1063129,-259.1008472905133,-326.7618364070813,275.408915520045
1063130,-259.32730842735316,-326.98409061582237,275.8926888116789
1063131,-259.5452897127962,-327.22729063101633,275.27330818993175
1063132,-259.8171745680129,-328.32539690089527,275.29299746269857
1063133,-259.63452768078236,-328.25195853891006,275.10154819989776
1063134,-260.4325558056665,-328.28632169257213,275.5344542364007
1063135,-261.0293082673963,-328.0308810901984,275.52973039170075
1063136,-261.3284609452787,-327.207757071284,275.56617221036424
1063137,-260.416859933716,-327.28976164994845,275.8615081921361
1063138,-260.67424921886777,-327.4766353244186,275.4183775206583
1063139,-260.38720656455445,-327.13263071543184,275.19982739495885
1063140,-261.39348970427466,-327.2451278892498,275.6956968583055
1063141,-261.3484764780093,-326.1400623000139,275.5931915192201
1063142,-262.02403815620823,-325.61184277400696,275.1430667380649
1063143,-261.7325408515023,-325.26705463694844,274.6667269227253
1063144,-261.797217138957,-324.0902280638682,274.7708118532723
1063145,-261.92220826615494,-324.15849755478683,275.06918339533183
1063146,-261.9984288024935,-324.9399919399129,274.9378875578935
1063147,-262.32566544263386,-325.7154098785996,275.2364615043587
1063148,-262.03221589854417,-325.97637125960944,275.35248902887525
1063149,-260.9490364653293,-326.67033824647507,274.9951893347812
1063150,-260.6671052649862,-326.4104244355094,275.0968528522679
1063151,-261.24344555707137,-326.26272207145786,275.2316621323019
1063152,-260.9964393818259,-327.2389486733713,275.22975293072943
1063153,-261.58805832657794,-327.4177757347162,275.19464347422655
1063154,-261.61942485766275,-327.5543544752594,275.289530385109
1063155,-261.3084818891356,-327.7249414582427,275.56611009667233
1063156,-260.9623466638511,-328.548809401189,276.1932291459637
1063157,-262.08619854746115,-329.33270531958124,277.2969789744567
1063158,-262.0337416816699,-329.3034284619903,277.0068887959392
1063159,-262.5459044966092,-329.96011227379347,277.25789367047616
1063160,-263.13175754687205,-330.1667415991278,278.48027864796376
1063161,-263.10356440659194,-330.18928441176115,279.2231375285805
1063162,-262.81611884281455,-330.1531264691815,278.56650415844854
1063163,-262.3683522589076,-329.68947232008924,278.3595683163365
1063164,-262.5869876435992,-328.8444954375141,278.3762255872208
1063165,-262.3876675254978,-329.06085837960745,277.980686894507
1063166,-262.08531059613057,-328.9252745666862,278.1012794813357
1063167,-261.9346746635235,-328.99811264478353,278.28536227906187
1063168,-261.70953327362764,-329.4927998674612,278.7475538606046
1063169,-261.3914876743454,-329.41488270435923,278.8924804977109
1063170,-261.76357673953777,-328.7865519214211,278.9029476873604
1063171,-260.9581527827726,-328.02030685475205,278.70581552720483
1063172,-261.5131020636906,-327.4407064553871,278.44310750604757
