sample,gyro_x,gyro_y,gyro_z
1035500,-282.86238900876685,-172.8241996572326,309.4155770799596
1035501,-283.29156945368373,-172.98730949216775,310.0024438713843
1035502,-283.54927380131045,-172.733205667493,309.66731832443907
1035503,-283.35003075981524,-172.98692985745376,309.550598476654
1035504,-283.29048285679545,-173.14766963844548,309.92405845954653
1035505,-283.5988155905636,-172.6014574291683,310.0143232599058
1035506,-284.6482634991884,-173.0545962029031,310.6914011055456
1035507,-284.513245625435,-173.68651870033304,310.60904269814927
1035508,-284.62371524499287,-173.89293377020775,310.9270718396934
1035509,-285.19655005290855,-173.75020786969446,310.3583700909318
1035510,-284.48777346754144,-174.17120414726952,310.19081203780263
1035511,-284.28371154205473,-175.00960985343707,310.24243901704335
1035512,-285.3727686612969,-174.34066748467322,310.5120607417483
1035513,-285.0719096424704,-173.6389716103643,310.36289127296754
1035514,-285.6533241094913,-174.24888720334232,310.84794530354714
1035515,-285.69589724772266,-174.25030411865896,310.84767794160916
1035516,-286.0740821939762,-173.47157356593138,311.1363862788599
1035517,-286.7385797896916,-172.65739974717556,311.2623493550985
1035518,-286.3573674816805,-172.07782069430712,310.7141921791836
1035519,-286.30656624883176,-172.84265863435903,309.95089836418146
1035520,-285.8747964925996,-172.02800095824833,310.23297306690586
1035521,-285.22331006568,-171.51785743136344,308.48794087247484
1035522,-285.3790623074201,-170.34209597593357,307.7483152697677
1035523,-285.5555457388983,-171.1800053073232,308.7483342490859
1035524,-284.9870461519248,-171.05353831368626,308.2997305489555
1035525,-285.15236359229345,-171.21234548709313,307.14591496036707
1035526,-285.35422302479867,-171.28312169396665,307.0234162091496
1035527,-284.9904299458754,-171.48704034267638,307.2219259533013
1035528,-285.45872153411887,-171.8013162990988,307.2604099522954
1035529,-285.50602239444265,-172.3186693052384,307.48108858276976
1035530,-285.34543958265533,-172.348776611105,307.49454758323657
1035531,-285.2496676860958,-172.2784231350546,308.03497443610814
1035532,-285.9682607671138,-172.18109976123324,308.04817116448515
1035533,-286.33351338725265,-171.7694513939537,307.9608148484079
1035534,-286.70845484063864,-172.47969496588897,308.1205949127765
1035535,-286.64472552741586,-172.2939354871336,307.27590842728256
1035536,-286.83330334318856,-172.3093469914963,308.03495129760483
1035537,-287.1406506462908,-172.52546480751798,308.8034772858233
1035538,-287.19011051860605,-172.1125877065904,309.1059515292449
1035539,-286.55867875172845,-172.48186623252582,309.1595141903913
1035540,-287.4390771999573,-172.49579444624382,309.51501738703377
1035541,-287.7876130803994,-172.46586088027195,310.19429288192435
1035542,-288.4362917856057,-172.6573011544967,310.65391226657243
1035543,-288.0203304654348,-172.205532186662,310.0120888967039
1035544,-288.1790052667481,-172.5154717320523,310.2224709812655
1035545,-289.1641236023946,-172.8230734732437,310.05619808860996
1035546,-289.49092056165205,-173.17116675321364,309.9477352026661
1035547,-289.3080299254354,-173.27589749062034,310.18315520380906
1035548,-289.36172261563024,-173.07110540977925,310.6457739462772
1035549,-289.3168153483789,-172.8713918391658,310.79973349642097
1035550,-289.92621284195707,-173.35496366666374,310.7792144197945
1035551,-289.1433691036822,-173.17959952797827,311.3448048358249
1035552,-290.2171086503568,-173.88799462974492,311.1921231115977
1035553,-289.49606000303845,-173.7426552013441,311.6467487576128
1035554,-288.89010708000706,-173.33862890509374,310.80889212181074
1035555,-289.14571659794575,-173.438634560465,309.7661463065546
1035556,-289.34173259487426,-173.75664850224973,310.04095051258247
1035557,-289.89650956757447,-174.88847780175647,310.11743079106424
1035558,-289.9517450052763,-174.92704096862116,309.9725841657612
1035559,-289.40788531838945,-174.86254120239235,310.9018166002092
1035560,-289.85489445955716,-174.20960558878312,311.8065764590432
1035561,-289.51070844724245,-173.8231331908958,311.0399670411893
1035562,-289.54202687962123,-173.3275769977673,311.66543919125064
1035563,-290.08356226805194,-174.22461824316255,312.3378540874841
1035564,-290.3055270712803,-174.10929192421972,312.53721602249806
1035565,-289.7156685273561,-173.9984866146896,313.9570242075711
1035566,-290.11712547809657,-174.38478070310265,314.493000209396
1035567,-290.4372930960592,-174.20753660707163,314.6162094521124
1035568,-289.65806655455117,-174.32277893948765,314.69133367337446
1035569,-288.96962738214415,-173.71104122289097,314.5163890939159
1035570,-289.66011759476805,-174.1914217246164,314.6284776564042
1035571,-289.3608204140485,-173.7916358705648,314.40228154263036
1035572,-288.5658120086182,-174.18098774156599,314.71976709362747
1035573,-288.54406129678546,-173.9704960216102,314.977443230751
1035574,-288.21998214053133,-172.93764305463034,316.35489359222265
1035575,-288.5579747851223,-173.9545808869186,315.3883536950871
1035576,-288.88563341954296,-173.82448625745207,315.7849572889712
1035577,-289.0719587698989,-173.8379345224704,315.1683735588285
