sample,gyro_x,gyro_y,gyro_z
1038500,-303.75639566340595,-174.5034413226591,299.6897372992954
1038501,-303.34483489857007,-174.40841319337312,300.0379612293814
1038502,-302.0544394572285,-175.64873706898314,299.7693041546572
1038503,-302.53589985274095,-176.03695039263596,299.9385405200678
1038504,-301.962554046412,-176.15583185425103,299.24273946811456
1038505,-301.8418834265121,-176.67943800982334,299.4535388248655
1038506,-302.28593468630834,-176.876294171777,299.79293993371317
1038507,-301.7130539377782,-177.14414068411133,300.5102049555632
1038508,-301.267603847239,-177.2797281214168,300.7184226556906
1038509,-300.98275272483926,-177.48176786283244,300.77550588764456
1038510,-302.367891514842,-177.7571075387058,300.482957956719
1038511,-302.1611165826902,-177.71152491400514,300.2154718971446
1038512,-301.4864627534034,-177.1722301613595,300.5010069631468
1038513,-301.9550940092547,-177.584126526647,300.7468982705936
1038514,-301.79075614143676,-177.571093363146,300.4634090099181
1038515,-302.360127253978,-177.36305205683942,300.0657769177625
1038516,-302.7296652900967,-177.69590091245078,300.01382927720437
1038517,-302.97597133996834,-176.80363916776943,300.5127333218041
1038518,-303.409358255794,-176.7004272064659,299.34196792416094
1038519,-303.9227350149967,-176.7951005040768,299.7686345336657
1038520,-303.73741298621474,-177.26107465890604,300.6090519357884
1038521,-303.9953938585316,-177.29537039402777,300.58587379826827
1038522,-304.5368097243075,-177.30395845779978,301.47145417422826
1038523,-305.10857385244583,-177.04153618853863,301.2579968517434
1038524,-305.3575650281392,-178.1722975058588,301.80515591452655
1038525,-305.1848420900879,-178.24550278847627,301.22858877195245
1038526,-304.81090372600914,-179.01187242097336,300.9441169564828
1038527,-304.98222298095675,-179.22807572835154,300.96938864973015
1038528,-304.59540436786585,-179.11616516914503,301.0150251509767
1038529,-305.62395506452026,-179.86749502747756,301.0198491120958
1038530,-306.22167922271564,-180.11184000902233,300.9156427864298
1038531,-305.8125122012475,-179.77403869989894,300.28767178223364
1038532,-305.58269954747715,-179.62290045435367,300.7157114233958
1038533,-306.39038300699417,-179.49563999960995,300.52182545096207
1038534,-305.3568931953239,-179.82968468558445,299.7313382065483
1038535,-305.14318134214835,-179.1946225973343,300.1845934734824
1038536,-305.39753083301116,-179.7718355395652,301.19529548917745
1038537,-305.2525573855139,-180.40601126679343,302.1080697617019
1038538,-305.7680321581265,-180.78079449840683,301.6648372240848
1038539,-305.3557758872796,-181.4496006528364,302.0703201749596
1038540,-305.0573657543785,-180.7336786502947,302.2292448259539
1038541,-304.96966573368604,-180.81507541303276,301.40846465211456
1038542,-305.6702914004232,-181.45875214745396,301.7704173775849
